Name,summary,Wikipedia Page
Victoria Ocampo,"Ramona Victoria Epifanía Rufina Ocampo  (7 April 1890 – 27 January 1979) was an Argentine writer and intellectual. Best known as an advocate for others and as publisher of the literary magazine Sur, she was also a writer and critic in her own right and one of the most prominent South American women of her time. Her sister was Silvina Ocampo, also a writer. She was nominated for the 1970 Nobel Prize in Literature.",https://en.wikipedia.org/wiki/Victoria_Ocampo
Danilo Arbilla,"Danilo Arbilla (born 1943 in Casupá) is a Uruguayan journalist and entrepreneur. He was a former President of the Inter American Press Association who had shared the 1992 Maria Moors Cabot prize.

",https://en.wikipedia.org/wiki/Danilo_Arbilla
Ramón José Velásquez,"Ramón José Velásquez Mujica (28 November 1916 – 24 June 2014) was a Venezuelan politician, historian, journalist, and lawyer. He served as the president of Venezuela between 1993 and 1994.",https://en.wikipedia.org/wiki/Ram%C3%B3n_Jos%C3%A9_Vel%C3%A1squez
Yoani Sánchez,"Yoani María Sánchez Cordero (born September 4, 1975) is a Cuban blogger who has achieved international fame and multiple international awards for her critical portrayal of life in Cuba under its current government.
Sánchez attended primary school  during the affluent time when the Soviet Union was providing considerable aid to Cuba. However, her high school and university education coincided with the loss of financial aid to Cuba following the Soviet Union's collapse, creating a highly public educational system and style of living that subsequently left Sánchez with a strong need for personal privacy.  Sánchez's university education left her with two understandings; first, that she had acquired a disgust for ""high culture"", and second that she no longer had an interest in philology, her chosen field of university study.
Sánchez, disillusioned with her home country, left Cuba for Switzerland in 2002, and it was during this time that she became interested in computer science. When she finally returned to Cuba, Sánchez helped to establish Contodos, a magazine that continues to act  as a forum for Cuban free expression, and a vehicle for  reporting news. Sánchez is best known for her blog, Generación Y (Generation Y); which, despite censorship in Cuba, she is able to publish by e-mailing the blog entries to friends outside the country who then post them online. The blog is translated and available in 17 languages.
Time magazine listed her as one of the world's 100 most influential people in 2008, stating that ""under the nose of a regime that has never tolerated dissent, Sánchez has practiced what paper-bound journalists in her country cannot; freedom of speech"". In November 2009, U.S. President Barack Obama, wrote that her blog ""provides the world a unique window into the realities of daily life in Cuba"" and applauded her efforts to ""empower fellow Cubans to express themselves through the use of technology"".",https://en.wikipedia.org/wiki/Yoani_S%C3%A1nchez
Elena Poniatowska,"Hélène Elizabeth Louise Amélie Paula Dolores Poniatowska Amor (born May 19, 1932), known professionally as Elena Poniatowska (), is a French-born Mexican journalist and author, specializing in works on social and political issues focused on those considered to be disenfranchised especially women and the poor. She was born in Paris to upper-class parents, including her mother whose family fled Mexico during the Mexican Revolution. She left France for Mexico when she was ten to escape the Second World War. When she was eighteen and without a university education, she began writing for the newspaper Excélsior, doing interviews and society columns. Despite the lack of opportunity for women from the 1950s to the 1970s, she wrote about social and political issues in newspapers, books in both fiction and nonfiction form. Her best known work is La noche de Tlatelolco (The night of Tlatelolco, the English translation was entitled ""Massacre in Mexico"") about the repression of the 1968 student protests in Mexico City. Due to her left wing views, she has been nicknamed ""the Red Princess"". She is considered to be ""Mexico's grande dame of letters"" and is still an active writer.",https://en.wikipedia.org/wiki/Elena_Poniatowska
Susan Meiselas,"Susan Meiselas (born June 21, 1948) is an American documentary photographer. She has been associated with Magnum Photos since 1976 and been a full member since 1980. Currently she is the President of the Magnum Foundation. She is best known for her 1970s photographs of war-torn Nicaragua and American carnival strippers.Meiselas has published several books of her own photographs and has edited and contributed to others. Her works have been published in newspapers and magazines including The New York Times, The Times, Time, GEO, and Paris Match. She received the Robert Capa Gold Medal in 1979 and was named a MacArthur Fellow in 1992. In 2006, she was awarded The Royal Photographic Society's Centenary Medal and Honorary Fellowship and in 2019 the Deutsche Börse Photography Foundation Prize.
After a relationship that spanned more than thirty years, she married filmmaker Richard P. Rogers shortly before his death in 2001.",https://en.wikipedia.org/wiki/Susan_Meiselas
Tad Szulc,"Tadeusz Witold Szulc (July 25, 1926 – May 21, 2001) was an author and foreign correspondent for The New York Times from 1953 to 1972. Szulc is credited with breaking the story of the Bay of Pigs invasion.",https://en.wikipedia.org/wiki/Tad_Szulc
Michèle Montas,"Michèle Montas (born 1946) is a journalist from Haiti and the former Spokesperson under UN Secretary-General Ban Ki-moon (January 1, 2007 – January 1, 2010). Prior to her appointment, Montas headed the French unit of UN Radio. From 2003 to 2004, she served as the Spokesperson for UN General Assembly President Julian Robert Hunte soon after she fled to New York from Haiti.Montas began her journalism career in Haiti in the early 1970s with her husband, Jean Dominique, also a  Haitian journalist. Dominique's station, Radio Haiti-Inter, was attacked several times in the 1980s and 1990s, and the couple was forced to flee the country twice to briefly live in exile. Dominique was assassinated in April 2000 after broadcasting increasingly strident criticisms of Jean-Bertrand Aristide's party on his program (Aristide was not in power at the time). Montas took over the radio station, but shut it down in February 2003 and fled to New York after her bodyguard was gunned down in an attack on her home and she received several death threats. Montas returned to Haiti in 2010 in her role with MINUSTAH.

",https://en.wikipedia.org/wiki/Mich%C3%A8le_Montas
Alma Guillermoprieto,"Alma Guillermoprieto (born Alma Estela Guillermo Prieto, 1949) is a Mexican journalist. She has written extensively about Latin America for the British and American press, especially The New Yorker and The New York Review of Books. Her writings have also been widely disseminated within the Spanish-speaking world and she has published eight books in both English and Spanish, and been translated into several more languages.
Guillermoprieto began her career as a dancer (later the subject of two of her books: Samba, 1990, and Dancing with Cuba, 2004), before turning to journalism in 1978 and soon breaking the story of the 1981 El Mozote massacre by the army in El Salvador. In English, she has published two books collecting her long-form journalism on Latin America: The Heart That Bleeds (1994) and Looking for History (2001). She has also published three books collecting and translating her English reporting into Spanish. She has won a MacArthur Fellowship (1995), a George Polk Award (2001), and a Princess of Asturias Award (2018), among other honors.",https://en.wikipedia.org/wiki/Alma_Guillermoprieto
Arturo Uslar Pietri,"Arturo Uslar Pietri (16 May 1906 in Caracas – 26 February 2001) was a Venezuelan intellectual, historian, writer, television producer, and politician.

",https://en.wikipedia.org/wiki/Arturo_Uslar_Pietri
Carmen Aristegui,"María del Carmen Aristegui Flores (Spanish pronunciation: [ˈkaɾ.men a.ɾisˈte.ɣi]; born January 18, 1964) is a Mexican journalist and anchorwoman. She is widely regarded as one of Mexico's leading journalists and opinion leaders, and is best known for her critical investigations of the Mexican government. She is the anchor of the news program Aristegui on CNN en Español, and writes regularly for the opinion section of the periodical Reforma. In March 2015, she was illegally fired from MVS Radio 102.5 FM in Mexico City following a report on the conflict of interests by then Mexican President Enrique Peña Nieto, with a state contractor who would have built a millionaire residence for the president and his family. She manages her own news website and hosts an online morning newscast, which is also broadcast on Grupo Radio Centro's XERC-FM.",https://en.wikipedia.org/wiki/Carmen_Aristegui
Alberto Dines,"Alberto Dines (February 19, 1932 – May 22, 2018) was a Brazilian journalist and writer.",https://en.wikipedia.org/wiki/Alberto_Dines
Pedro Joaquín Chamorro Cardenal,"Pedro Joaquín Chamorro Cardenal (23 September 1924 – 10 January 1978) was a Nicaraguan journalist and publisher. He was the editor of La Prensa, the only significant opposition newspaper to the long rule of the Somoza family.  He is a 1977 laureate of the Maria Moors Cabot Prize of Columbia University in New York. He married Violeta Barrios de Chamorro, who later went on to become President of Nicaragua (1990–1997). In 1978, he was shot to death, one of the precipitating events of the overthrow of the Somoza regime the following year.",https://en.wikipedia.org/wiki/Pedro_Joaqu%C3%ADn_Chamorro_Cardenal
Raúl Rivero,"Raúl Ramón Rivero Castañeda (23 November 1945 – 6 November 2021) was a Cuban poet, journalist, and dissident.",https://en.wikipedia.org/wiki/Ra%C3%BAl_Rivero
Pelé,"Edson Arantes do Nascimento (Brazilian Portuguese: [ˈɛtsõ aˈɾɐ̃tʃiz du nasiˈmẽtu]; 23 October 1940 – 29 December 2022), better known by his nickname Pelé (Portuguese pronunciation: [peˈlɛ]), was a Brazilian professional footballer who played as a forward. Widely regarded as one of the greatest players of all-time, he was among the most successful and popular sports figures of the 20th century. In 1999, he was named Athlete of the Century by the International Olympic Committee and was included in the Time list of the 100 most important people of the 20th century. In 2000, Pelé was voted World Player of the Century by the International Federation of Football History & Statistics (IFFHS) and was one of the two joint winners of the FIFA Player of the Century. His 1,279 goals in 1,363 games, which includes friendlies, is recognised as a Guinness World Record.Pelé began playing for Santos at age 15 and the Brazil national team at 16. During his international career, he won three FIFA World Cups: 1958, 1962 and 1970, the only player to do so and the youngest player to win a World Cup (17). He was nicknamed O Rei (The King) following the 1958 tournament. With 77 goals in 92 games for Brazil, Pelé held the record as the national team's top goalscorer for over fifty years. At club level, he is Santos's all-time top goalscorer with 643 goals in 659 games. In a golden era for Santos, he led the club to the 1962 and 1963 Copa Libertadores, and to the 1962 and 1963 Intercontinental Cup. Credited with connecting the phrase ""The Beautiful Game"" with football, Pelé's ""electrifying play and penchant for spectacular goals"" made him a star around the world, and his teams toured internationally to take full advantage of his popularity. During his playing days, Pelé was for a period the best-paid athlete in the world. After retiring in 1977, Pelé was a worldwide ambassador for football and made many acting and commercial ventures. In 2010, he was named the honorary president of the New York Cosmos.
Averaging almost a goal per game throughout his career, Pelé was adept at striking the ball with either foot in addition to anticipating his opponents' movements on the field. While predominantly a striker, he could also drop deep and take on a playmaking role, providing assists with his vision and passing ability, and he would also use his dribbling skills to go past opponents. In Brazil, he was hailed as a national hero for his accomplishments in football and for his outspoken support of policies that improve the social conditions of the poor. His emergence at the 1958 World Cup, where he became a black global sporting star, was a source of inspiration. Throughout his career and in his retirement, Pelé received numerous individual and team awards for his performance on the field, his record-breaking achievements, and his legacy in the sport.",https://en.wikipedia.org/wiki/Pel%C3%A9
Emilio Azcárraga Vidaurreta,"Emilio Azcárraga Vidaurreta (2 March 1895, Tampico, Tamaulipas – 23 September 1972, Houston) was a Mexican businessman who built an entertainment conglomerate.
The son of Basque immigrants Mariano Azcárraga and Emilia Vidaurreta, his primary education was in Piedras Negras, Coahuila, middle school in San Antonio, Texas, and high school in Austin.",https://en.wikipedia.org/wiki/Emilio_Azc%C3%A1rraga_Vidaurreta
Jacobo Timerman,"Jacobo Timerman (6 January 1923 – 11 November 1999) was a Soviet-born Argentine publisher, journalist, and author, who is most noted for his confronting and reporting the atrocities of the Argentine military regime's Dirty War during a period of widespread repression in which an estimated 30,000 political prisoners were disappeared. He was persecuted, tortured and imprisoned by the Argentine junta in the late 1970s and was exiled in 1979 with his wife to Israel. He was widely honored for his work as a journalist and publisher.
In Israel, Timerman wrote and published his most well-known book, Prisoner Without a Name, Cell Without a Number (1981), a memoir of his prison experience that added to his international reputation. A longtime Zionist, he also published The Longest War, a strongly critical book about Israel's 1982 Lebanon War.Timerman returned to Argentina in 1984, and testified to the National Commission on the Disappearance of Persons. He continued to write, publishing books in 1987 about Chile under the Augusto Pinochet regime and in 1990 about Cuba under Fidel Castro.",https://en.wikipedia.org/wiki/Jacobo_Timerman
Stephen Kinzer,"Stephen Kinzer (born August 4, 1951) is an American author, journalist, and academic. A former New York Times correspondent, he has published several books and writes for several newspapers and news agencies.",https://en.wikipedia.org/wiki/Stephen_Kinzer
Germán Arciniegas,"Germán Arciniegas Angueyra (December 6, 1900 - November 29, 1999) was a Colombian historian, writer and journalist who was known for his advocacy of educational and cultural issues, as well as his outspoken opposition to dictatorship. He also served as a college professor and held positions in the government, including Minister of Education and several ambassadorships.",https://en.wikipedia.org/wiki/Germ%C3%A1n_Arciniegas
John Moors Cabot,"John Moors Cabot (December 11, 1901 – February 24, 1981) was an American diplomat and U.S. Ambassador to five nations during the Truman, Eisenhower, and Kennedy administrations. He also served as Assistant Secretary of State for Inter-American Affairs. He warned repeatedly of the dangers of Soviet communism toward American interests in Latin America.

",https://en.wikipedia.org/wiki/John_Moors_Cabot
Robert Moses,"Robert Moses (December 18, 1888 – July 29, 1981) was an American urban planner and public official who worked in the New York metropolitan area during the early to mid 20th century. Despite never being elected to any office, Moses is regarded as one of the most powerful and influential individuals in the history of New York City and New York State. The grand scale of his infrastructural projects and his philosophy of urban development influenced a generation of engineers, architects, and urban planners across the United States.Moses held various positions throughout his more than forty-year long career. He at times held up to 12 titles simultaneously, including New York City Parks Commissioner and chairman of the Long Island State Park Commission. Having worked closely with New York governor Al Smith early in his career, Moses became expert in writing laws and navigating and manipulating the inner workings of state government. He created and led numerous semi-autonomous public authorities, through which he controlled millions of dollars in revenue and directly issued bonds to fund new ventures with little outside input or oversight.
Moses's projects transformed the New York area and revolutionized the way cities in the U.S. were designed and built. As Long Island State Park Commissioner, Moses oversaw the construction of Jones Beach State Park, the most visited public beach in the United States, and was the primary architect of the New York State Parkway System. As head of the Triborough Bridge Authority, Moses had near-complete control over bridges and tunnels in New York City as well as the tolls collected from them, and built, among others, the Triborough Bridge, the Brooklyn–Battery Tunnel, and the Throgs Neck Bridge, as well as several major highways. These roadways and bridges, alongside urban renewal efforts that saw the destruction of huge swaths of tenement housing and their replacement with large public housing projects, transformed the physical fabric of New York and inspired other cities to undertake similar development endeavors.
Moses's reputation declined following the publication of Robert Caro's Pulitzer Prize-winning biography The Power Broker (1974), which cast doubt on the purported benefits of many of Moses's projects and further cast Moses as racist. In large part because of The Power Broker, Moses is today considered a controversial figure in the history of New York City.",https://en.wikipedia.org/wiki/Robert_Moses
Roberto Marinho,"Roberto Pisani Marinho (December 3, 1904 – August 6, 2003) was a Brazilian businessman and tycoon who was the founder and owner of media conglomerate Grupo Globo from 1925 to 2003, and during this period expanded the company from newspapers to radio and television.Born and raised in Rio de Janeiro, Marinho inherited the newspaper O Globo and began working there as a reporter. Later he became the chief editor. Marinho founded and was the president of the Brazilian TV channel, Rede Globo, the biggest television network in the country; it now has 123 stations and associates.Marinho is considered one of the most influential and powerful figures of the 20th century in Brazil.",https://en.wikipedia.org/wiki/Roberto_Marinho
List of coups and coup attempts by country,"This is a list of coups d'état and coup attempts by country, listed in chronological order. A coup is an attempt to illegally overthrow the government of a country. Scholars generally consider a coup successful when the usurpers are able to maintain control of the government for at least seven days.",https://en.wikipedia.org/wiki/List_of_coups_and_coup_attempts_by_country
James G. Stahlman,"James Geddes Stahlman (February 28, 1893 – May 1, 1976) was an American newspaper publisher and philanthropist. He was the publisher of the Nashville Banner. He was opposed to desegregation.

",https://en.wikipedia.org/wiki/James_G._Stahlman
Miguel Ángel Quevedo,"Miguel Ángel Quevedo y de la Lastra (July 31, 1908 – August 12, 1969) was the publisher and editor of Bohemia Magazine, the most popular news-weekly of its day in Cuba and Latin America, known for its political journalism and editorial writing.
In May 1908, Quevedo's father, Miguel Ángel Quevedo y Pérez, first published the magazine Bohemia, which he named after his favorite opera, La bohème, by Giacomo Puccini. The magazine folded after a few issues but returned in 1910 and became one of Cuba's most popular weeklies within a few years. Due to failing health, Quevedo Pérez turned over the running of Bohemia to his son, Quevedo de la Lastra (then only eighteen years old), on January 1, 1927. Almost immediately, the young Quevedo became one of the principle voices of opposition to the dictatorship of Gerardo Machado, a distinction for which he was jailed several times in the early 1930s. The young Quevedo also became a vocal critic of the myriad dictatorships that gripped Latin America in the 1930s and 1940s. By the 1950s, Quevedo and Bohemia led the mainstream Cuban press in denouncing the dictatorship of Fulgencio Batista and supported the insurrection and revolution against Batista's regime. On July 26, 1958 the magazine published the Sierra Maestra Manifesto, a document that purported to unify the opposition groups fighting Batista. On January 11, 1959, one million copies of a special edition of the magazine were printed, and sold out in just a few hours.
Quevedo sought political asylum in the Venezuelan embassy in Havana in the summer of 1960 and arrived in Miami on September 7, 1960. The following month he published Bohemia Libre with $40,000 monthly from the U.S. State Department until after the failed Bay of Pigs invasion in April 1961. The magazine was subsequently edited in Miami, Florida, San Juan, Puerto Rico, and Caracas, Venezuela. On August 12, 1969, weeks after his publication went bankrupt and he was heavily indebted to loan sharks and had cashed large checks without funds, the inveterate bachelor committed suicide in the Caracas apartment that he shared with his sister Rosa Margarita Quevedo. He shot himself in the right temple with a 38 caliber revolver. Next to his body was found a letter to ""the competent authorities and to public opinion"" saying that ""absolutely no one should be blamed for his death."" He ""begged forgiveness from anyone he may have offended in any way."" Another letter was addressed to his sister, who heard the gunshot in his bedroom while she was in the kitchen.After his death, journalist Ernesto Montaner published in Miami an apocryphal suicide letter from Quevedo stating that Bohemia Magazine invented the 20,000 figure that is commonly cited for the number of deaths under Fulgencio Batista's regime. The original letter or its facsimile has never appeared and journalist Agustin Tamargo denounced it as a fraud by Montaner.

",https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Quevedo
Miriam Leitão,"Miriam Azevedo de Almeida Leitão (born 7 April 1953) is a Brazilian journalist and television presenter. She has a program at GloboNews and is a commentator on economics at TV Globo's Bom Dia Brasil  and writes the column Panorama Econômico in the newspaper O Globo. She is the mother of two sons, Vladimir Netto (1973) and Matheus Leitão (1977).

",https://en.wikipedia.org/wiki/Miriam_Leit%C3%A3o
John S. Knight,"John Shively Knight (October 26, 1894 – June 16, 1981) was an American newspaper publisher and editor based in Akron, Ohio.",https://en.wikipedia.org/wiki/John_S._Knight
Ricardo Castro Beeche,"Ricardo Castro Béeche (April 11, 1894 – October 9, 1967) was a Costa Rican lawyer, politician and writer.
Castro Béeche was born in San José, Costa Rica on April 11, 1894, to parents Roberto Castro Solera and Mercedes Béeche Argüello, whose brother, Lic. Octavio Béeche, was the foreign minister of Costa Rica from 1930 to 1931. He received his primary education at Buenaventura Corrales School and his secondary education at the Liceo de Costa Rica. He then went on to graduate from law school to earn a degree in law.
Castro Béeche alternated between public life and journalism. In 1915 he began his career in national politics as Consul General of Costa Rica in New York. In 1924, he served both as an alternate deputy in Congress and as a personal secretary to President Ricardo Jiménez Oreamuno during the same period. He was named Secretary of State in the Office of Foreign Relations and Annexed Affairs (Justice, Grace, Worship and Charity) in 1927.
Briefly switching to journalism, he was Director and General Manager of the Diario de Costa Rica between 1928 and 1934. Castro Béeche also served as a deputy for two consecutive terms (1930–34 and 1934–38). During his second term, he served as the president of congress for one year (1935–36).",https://en.wikipedia.org/wiki/Ricardo_Castro_Beeche
Alejandro Carrión,"Alejandro Carrión Aguirre (11 March 1915 – 4 January 1992) was an Ecuadorian poet, novelist and journalist. He wrote the novel La espina (1959), the short story book La manzana dañada (1983), and numerous poetry books.  As a journalist he published many of his articles under the pseudonym ""Juan Sin Cielo.""  In 1956 he founded, along with Pedro Jorge Vera, the political magazine La Calle.  He directed the literary magazine Letras del Ecuador.  He received the Maria Moors Cabot prize (1961) from the Columbia University Graduate School of Journalism as well as the Ecuadorian National Prize Premio Eugenio Espejo (1981) for his body of work.  He was the nephew of Benjamín Carrión and Clodoveo Carrión.",https://en.wikipedia.org/wiki/Alejandro_Carri%C3%B3n
Fernando Gómez Martínez,"Fernando Gómez Martínez (1 March 1897 – 5 December 1985) was a moderate Colombian Conservative Party member, newspaper editor, former Governor of Antioquia Department, and Foreign Minister.",https://en.wikipedia.org/wiki/Fernando_G%C3%B3mez_Mart%C3%ADnez
Rómulo O'Farrill,"Rómulo O'Farrill II (15 December 1917 – 18 May 2006) was a Mexican multi-millionaire businessman.
His father, Rómulo O'Farrill, founded the Novedades newspaper and owned the first commercial TV station (XHTV, Canal 4) through his company Televisión de México.
With engineer Guillermo González Camarena and businessmen Emilio Azcárraga Vidaurreta, Ernesto Barrientos Reyes and Miguel Alemán Valdés as partners, they created the Telesistema Mexicano, S.A. company. Later on, in partnership with Emilio Azcárraga Milmo and Miguel Alemán Velasco and Televisión Independiente de México, he created TELEVISA. He was the honorary consul of Ireland in Mexico.
He learned English and graduated from Saint Anselm College in 1937.",https://en.wikipedia.org/wiki/R%C3%B3mulo_O%27Farrill
Hugo Fernández Artucio,"Hugo Fernández Artucio (born 1912, died 5/2/1974) was a Uruguayan teacher of philosophy, historian and politician.",https://en.wikipedia.org/wiki/Hugo_Fern%C3%A1ndez_Artucio
